epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9118,2.49031,4.88597,1.87109,0.00281,0.19132,0.00817,0.00269,2.396,5.07782,1.79793,5.712e-05,5.712e-05,5.712e-05
2,31.4001,2.35825,4.56332,1.6736,0.00473,0.40912,0.04775,0.01364,2.17328,4.8342,1.5407,0.000118977,0.000118977,0.000118977
3,47.0942,2.18451,3.93438,1.54502,0.00537,0.45371,0.08844,0.03235,2.07359,4.71879,1.39788,0.000178289,0.000178289,0.000178289
4,62.689,2.12204,4.53845,1.48054,0.00673,0.57465,0.11909,0.04228,2.07862,4.55346,1.32879,0.000235056,0.000235056,0.000235056
5,78.1261,2.19231,3.31205,1.39742,0.00734,0.55731,0.12325,0.0494,2.06347,4.37513,1.32354,0.000289279,0.000289279,0.000289279
6,93.7657,2.01082,3.02308,1.32465,0.00913,0.70005,0.14859,0.06414,1.95013,4.10924,1.27219,0.000340956,0.000340956,0.000340956
7,109.322,2.10218,2.94827,1.3798,0.97643,0.08791,0.19228,0.08076,1.99195,3.80434,1.29109,0.00039009,0.00039009,0.00039009
8,124.817,1.95915,2.81446,1.39761,0.97294,0.08959,0.26031,0.10559,1.85839,3.76612,1.21131,0.000436678,0.000436678,0.000436678
9,140.315,1.89179,2.65237,1.35957,0.91716,0.0704,0.24866,0.0985,1.84445,3.60151,1.22283,0.000480722,0.000480722,0.000480722
10,155.974,1.72868,3.3543,1.23212,0.87794,0.09063,0.30697,0.1338,1.80866,3.37883,1.25827,0.000522221,0.000522221,0.000522221
11,171.618,1.90635,2.39952,1.36434,0.81551,0.27706,0.39435,0.19781,1.84198,2.89619,1.3369,0.000561175,0.000561175,0.000561175
12,187.416,1.87511,2.30909,1.35423,0.85709,0.32843,0.46173,0.2234,1.89372,2.88608,1.38823,0.000558491,0.000558491,0.000558491
13,203.018,1.73216,2.44353,1.35968,0.82972,0.33489,0.48124,0.22766,1.87867,2.80437,1.38581,0.000544354,0.000544354,0.000544354
14,218.512,1.90464,2.25014,1.3273,0.69509,0.41447,0.48858,0.26371,1.81792,2.56398,1.33731,0.000530216,0.000530216,0.000530216
